Matcher<CXXBaseSpecifier>	cxxBaseSpecifier	Matcher<CXXBaseSpecifier>...
Matcher<CXXCtorInitializer>	cxxCtorInitializer	Matcher<CXXCtorInitializer>...
Matcher<Decl>	accessSpecDecl	Matcher<AccessSpecDecl>...
Matcher<Decl>	bindingDecl	Matcher<BindingDecl>...
Matcher<Decl>	blockDecl	Matcher<BlockDecl>...
Matcher<Decl>	classTemplateDecl	Matcher<ClassTemplateDecl>...
Matcher<Decl>	classTemplatePartialSpecializationDecl	Matcher<ClassTemplatePartialSpecializationDecl>...
Matcher<Decl>	classTemplateSpecializationDecl	Matcher<ClassTemplateSpecializationDecl>...
Matcher<Decl>	cxxConstructorDecl	Matcher<CXXConstructorDecl>...
Matcher<Decl>	cxxConversionDecl	Matcher<CXXConversionDecl>...
Matcher<Decl>	cxxDeductionGuideDecl	Matcher<CXXDeductionGuideDecl>...
Matcher<Decl>	cxxDestructorDecl	Matcher<CXXDestructorDecl>...
Matcher<Decl>	cxxMethodDecl	Matcher<CXXMethodDecl>...
Matcher<Decl>	cxxRecordDecl	Matcher<CXXRecordDecl>...
Matcher<Decl>	decl	Matcher<Decl>...
Matcher<Decl>	declaratorDecl	Matcher<DeclaratorDecl>...
Matcher<Decl>	decompositionDecl	Matcher<DecompositionDecl>...
Matcher<Decl>	enumConstantDecl	Matcher<EnumConstantDecl>...
Matcher<Decl>	enumDecl	Matcher<EnumDecl>...
Matcher<Decl>	fieldDecl	Matcher<FieldDecl>...
Matcher<Decl>	friendDecl	Matcher<FriendDecl>...
Matcher<Decl>	functionDecl	Matcher<FunctionDecl>...
Matcher<Decl>	functionTemplateDecl	Matcher<FunctionTemplateDecl>...
Matcher<Decl>	indirectFieldDecl	Matcher<IndirectFieldDecl>...
Matcher<Decl>	labelDecl	Matcher<LabelDecl>...
Matcher<Decl>	linkageSpecDecl	Matcher<LinkageSpecDecl>...
Matcher<Decl>	namedDecl	Matcher<NamedDecl>...
Matcher<Decl>	namespaceAliasDecl	Matcher<NamespaceAliasDecl>...
Matcher<Decl>	namespaceDecl	Matcher<NamespaceDecl>...
Matcher<Decl>	nonTypeTemplateParmDecl	Matcher<NonTypeTemplateParmDecl>...
Matcher<Decl>	objcCategoryDecl	Matcher<ObjCCategoryDecl>...
Matcher<Decl>	objcCategoryImplDecl	Matcher<ObjCCategoryImplDecl>...
Matcher<Decl>	objcImplementationDecl	Matcher<ObjCImplementationDecl>...
Matcher<Decl>	objcInterfaceDecl	Matcher<ObjCInterfaceDecl>...
Matcher<Decl>	objcIvarDecl	Matcher<ObjCIvarDecl>...
Matcher<Decl>	objcMethodDecl	Matcher<ObjCMethodDecl>...
Matcher<Decl>	objcPropertyDecl	Matcher<ObjCPropertyDecl>...
Matcher<Decl>	objcProtocolDecl	Matcher<ObjCProtocolDecl>...
Matcher<Decl>	parmVarDecl	Matcher<ParmVarDecl>...
Matcher<Decl>	recordDecl	Matcher<RecordDecl>...
Matcher<Decl>	staticAssertDecl	Matcher<StaticAssertDecl>...
Matcher<Decl>	tagDecl	Matcher<TagDecl>...
Matcher<Decl>	templateTemplateParmDecl	Matcher<TemplateTemplateParmDecl>...
Matcher<Decl>	templateTypeParmDecl	Matcher<TemplateTypeParmDecl>...
Matcher<Decl>	translationUnitDecl	Matcher<TranslationUnitDecl>...
Matcher<Decl>	typeAliasDecl	Matcher<TypeAliasDecl>...
Matcher<Decl>	typeAliasTemplateDecl	Matcher<TypeAliasTemplateDecl>...
Matcher<Decl>	typedefDecl	Matcher<TypedefDecl>...
Matcher<Decl>	typedefNameDecl	Matcher<TypedefNameDecl>...
Matcher<Decl>	unresolvedUsingTypenameDecl	Matcher<UnresolvedUsingTypenameDecl>...
Matcher<Decl>	unresolvedUsingValueDecl	Matcher<UnresolvedUsingValueDecl>...
Matcher<Decl>	usingDecl	Matcher<UsingDecl>...
Matcher<Decl>	usingDirectiveDecl	Matcher<UsingDirectiveDecl>...
Matcher<Decl>	valueDecl	Matcher<ValueDecl>...
Matcher<Decl>	varDecl	Matcher<VarDecl>...
Matcher<NestedNameSpecifierLoc>	nestedNameSpecifierLoc	Matcher<NestedNameSpecifierLoc>...
Matcher<NestedNameSpecifier>	nestedNameSpecifier	Matcher<NestedNameSpecifier>...
Matcher<OMPClause>	ompDefaultClause	Matcher<OMPDefaultClause>...
Matcher<QualType>	qualType	Matcher<QualType>...
Matcher<Stmt>	addrLabelExpr	Matcher<AddrLabelExpr>...
Matcher<Stmt>	arraySubscriptExpr	Matcher<ArraySubscriptExpr>...
Matcher<Stmt>	asmStmt	Matcher<AsmStmt>...
Matcher<Stmt>	atomicExpr	Matcher<AtomicExpr>...
Matcher<Stmt>	autoreleasePoolStmt	Matcher<ObjCAutoreleasePoolStmt>...
Matcher<Stmt>	binaryConditionalOperator	Matcher<BinaryConditionalOperator>...
Matcher<Stmt>	binaryOperator	Matcher<BinaryOperator>...
Matcher<Stmt>	blockExpr	Matcher<BlockExpr>...
Matcher<Stmt>	breakStmt	Matcher<BreakStmt>...
Matcher<Stmt>	cStyleCastExpr	Matcher<CStyleCastExpr>...
Matcher<Stmt>	callExpr	Matcher<CallExpr>...
Matcher<Stmt>	caseStmt	Matcher<CaseStmt>...
Matcher<Stmt>	castExpr	Matcher<CastExpr>...
Matcher<Stmt>	characterLiteral	Matcher<CharacterLiteral>...
Matcher<Stmt>	chooseExpr	Matcher<ChooseExpr>...
Matcher<Stmt>	coawaitExpr	Matcher<CoawaitExpr>...
Matcher<Stmt>	compoundLiteralExpr	Matcher<CompoundLiteralExpr>...
Matcher<Stmt>	compoundStmt	Matcher<CompoundStmt>...
Matcher<Stmt>	conditionalOperator	Matcher<ConditionalOperator>...
Matcher<Stmt>	constantExpr	Matcher<ConstantExpr>...
Matcher<Stmt>	continueStmt	Matcher<ContinueStmt>...
Matcher<Stmt>	coreturnStmt	Matcher<CoreturnStmt>...
Matcher<Stmt>	coyieldExpr	Matcher<CoyieldExpr>...
Matcher<Stmt>	cudaKernelCallExpr	Matcher<CUDAKernelCallExpr>...
Matcher<Stmt>	cxxBindTemporaryExpr	Matcher<CXXBindTemporaryExpr>...
Matcher<Stmt>	cxxBoolLiteral	Matcher<CXXBoolLiteralExpr>...
Matcher<Stmt>	cxxCatchStmt	Matcher<CXXCatchStmt>...
Matcher<Stmt>	cxxConstCastExpr	Matcher<CXXConstCastExpr>...
Matcher<Stmt>	cxxConstructExpr	Matcher<CXXConstructExpr>...
Matcher<Stmt>	cxxDefaultArgExpr	Matcher<CXXDefaultArgExpr>...
Matcher<Stmt>	cxxDeleteExpr	Matcher<CXXDeleteExpr>...
Matcher<Stmt>	cxxDependentScopeMemberExpr	Matcher<CXXDependentScopeMemberExpr>...
Matcher<Stmt>	cxxDynamicCastExpr	Matcher<CXXDynamicCastExpr>...
Matcher<Stmt>	cxxForRangeStmt	Matcher<CXXForRangeStmt>...
Matcher<Stmt>	cxxFunctionalCastExpr	Matcher<CXXFunctionalCastExpr>...
Matcher<Stmt>	cxxMemberCallExpr	Matcher<CXXMemberCallExpr>...
Matcher<Stmt>	cxxNewExpr	Matcher<CXXNewExpr>...
Matcher<Stmt>	cxxNoexceptExpr	Matcher<CXXNoexceptExpr>...
Matcher<Stmt>	cxxNullPtrLiteralExpr	Matcher<CXXNullPtrLiteralExpr>...
Matcher<Stmt>	cxxOperatorCallExpr	Matcher<CXXOperatorCallExpr>...
Matcher<Stmt>	cxxReinterpretCastExpr	Matcher<CXXReinterpretCastExpr>...
Matcher<Stmt>	cxxRewrittenBinaryOperator	Matcher<CXXRewrittenBinaryOperator>...
Matcher<Stmt>	cxxStaticCastExpr	Matcher<CXXStaticCastExpr>...
Matcher<Stmt>	cxxStdInitializerListExpr	Matcher<CXXStdInitializerListExpr>...
Matcher<Stmt>	cxxTemporaryObjectExpr	Matcher<CXXTemporaryObjectExpr>...
Matcher<Stmt>	cxxThisExpr	Matcher<CXXThisExpr>...
