Matcher<CXXCtorInitializer>	cxxCtorInitializer	Matcher<CXXCtorInitializer>...
Matcher<Decl>	accessSpecDecl	Matcher<AccessSpecDecl>...
Matcher<Decl>	classTemplateDecl	Matcher<ClassTemplateDecl>...
Matcher<Decl>	classTemplateSpecializationDecl	Matcher<ClassTemplateSpecializationDecl>...
Matcher<Decl>	cxxConstructorDecl	Matcher<CXXConstructorDecl>...
Matcher<Decl>	cxxConversionDecl	Matcher<CXXConversionDecl>...
Matcher<Decl>	cxxDestructorDecl	Matcher<CXXDestructorDecl>...
Matcher<Decl>	cxxMethodDecl	Matcher<CXXMethodDecl>...
Matcher<Decl>	cxxRecordDecl	Matcher<CXXRecordDecl>...
Matcher<Decl>	decl	Matcher<Decl>...
Matcher<Decl>	declaratorDecl	Matcher<DeclaratorDecl>...
Matcher<Decl>	enumConstantDecl	Matcher<EnumConstantDecl>...
Matcher<Decl>	enumDecl	Matcher<EnumDecl>...
Matcher<Decl>	fieldDecl	Matcher<FieldDecl>...
Matcher<Decl>	friendDecl	Matcher<FriendDecl>...
Matcher<Decl>	functionDecl	Matcher<FunctionDecl>...
Matcher<Decl>	functionTemplateDecl	Matcher<FunctionTemplateDecl>...
Matcher<Decl>	labelDecl	Matcher<LabelDecl>...
Matcher<Decl>	linkageSpecDecl	Matcher<LinkageSpecDecl>...
Matcher<Decl>	namedDecl	Matcher<NamedDecl>...
Matcher<Decl>	namespaceAliasDecl	Matcher<NamespaceAliasDecl>...
Matcher<Decl>	namespaceDecl	Matcher<NamespaceDecl>...
Matcher<Decl>	nonTypeTemplateParmDecl	Matcher<NonTypeTemplateParmDecl>...
Matcher<Decl>	objcInterfaceDecl	Matcher<ObjCInterfaceDecl>...
Matcher<Decl>	parmVarDecl	Matcher<ParmVarDecl>...
Matcher<Decl>	recordDecl	Matcher<RecordDecl>...
Matcher<Decl>	staticAssertDecl	Matcher<StaticAssertDecl>...
Matcher<Decl>	templateTypeParmDecl	Matcher<TemplateTypeParmDecl>...
Matcher<Decl>	translationUnitDecl	Matcher<TranslationUnitDecl>...
Matcher<Decl>	typeAliasDecl	Matcher<TypeAliasDecl>...
Matcher<Decl>	typedefDecl	Matcher<TypedefDecl>...
Matcher<Decl>	typedefNameDecl	Matcher<TypedefNameDecl>...
Matcher<Decl>	unresolvedUsingTypenameDecl	Matcher<UnresolvedUsingTypenameDecl>...
