t(ns)	P4	P5	P6	P7	P8
0	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00
16	9.94E-01	9.88E-01	1.09E+00	9.88E-01	9.61E-01
32	7.70E-01	8.89E-01	1.03E+00	9.32E-01	9.61E-01
48	5.89E-01	7.71E-01	8.78E-01	9.35E-01	9.10E-01
64	3.23E-01	5.98E-01	7.91E-01	8.61E-01	8.19E-01
80	4.14E-02	4.03E-01	6.45E-01	7.39E-01	7.58E-01
96	-3.33E-02	2.56E-01	4.96E-01	7.10E-01	6.58E-01
112	-1.20E-01	1.37E-01	4.07E-01	5.51E-01	6.01E-01
128	-1.82E-01	3.12E-02	2.60E-01	4.78E-01	5.23E-01
144	-1.67E-01	-5.47E-02	1.67E-01	4.58E-01	4.68E-01
160	-1.59E-01	-1.08E-01	-1.66E-02	3.18E-01	4.23E-01
176	-2.18E-01	-1.47E-01	-5.95E-02	2.71E-01	3.71E-01
192	-1.28E-01	-1.56E-01	-7.38E-02	2.17E-01	2.71E-01
208	-1.19E-01	-1.52E-01	-1.77E-01	8.47E-02	1.97E-01
224	-1.91E-02	-1.03E-01	-1.55E-01	8.49E-02	1.78E-01
240	-4.24E-03	-1.21E-01	-2.29E-01	5.82E-02	1.25E-01
256	3.84E-02	-1.32E-01	-2.31E-01	-5.73E-02	6.21E-02
272	8.21E-02	-1.03E-01	-2.42E-01	-3.07E-02	-2.65E-03
288	1.01E-01	-6.37E-02	-2.15E-01	-4.22E-02	5.42E-02
304	7.75E-02	-4.22E-02	-2.02E-01	-6.06E-02	1.29E-02
320	8.71E-02	-2.70E-02	-1.81E-01	-5.09E-02	-2.83E-02
336	4.29E-02	-7.74E-03	-1.73E-01	-1.15E-02	-4.61E-02
352	-3.10E-02	2.04E-02	-2.00E-01	-4.86E-03	-4.59E-02
368	-1.34E-02	3.26E-02	-1.42E-01	-6.33E-02	-9.99E-02
384	1.13E-02	7.24E-02	-7.58E-02	-6.07E-02	-9.88E-02
400	-6.04E-02	7.99E-02	-8.59E-02	-1.17E-01	-1.09E-01
416	-5.31E-03	4.04E-02	-1.58E-01	-8.66E-02	-1.25E-01
432	-2.64E-02	5.23E-02	-1.11E-01	-8.55E-02	-1.17E-01
448	-2.73E-02	6.33E-02	-4.02E-02	-3.94E-02	-1.18E-01
464	-4.71E-02	6.42E-02	-7.26E-02	-1.06E-01	-1.16E-01
480	6.10E-02	3.84E-02	-3.89E-03	-1.02E-01	-1.31E-01
496	3.69E-02	2.57E-02	-3.66E-02	-1.31E-01	-1.34E-01
512	4.55E-02	3.26E-02	-6.49E-02	-6.76E-02	-1.41E-01
528	6.68E-02	1.20E-02	-3.23E-02	-6.60E-03	-1.05E-01
544	3.55E-02	-7.79E-03	4.94E-03	-4.00E-02	-1.13E-01
560	4.73E-02	-1.35E-02	2.49E-02	-3.82E-02	-1.09E-01
576	-2.60E-03	-1.16E-02	2.88E-02	6.83E-03	-1.26E-01
592	-2.56E-02	-2.88E-02	2.67E-02	2.28E-02	-1.13E-01
608	-1.58E-02	-2.05E-02	5.75E-02	3.51E-02	-9.95E-02
624	-2.55E-03	-2.43E-02	2.36E-02	2.99E-02	-1.36E-01
640	3.92E-02	-2.24E-02	1.81E-02	-1.88E-02	-1.35E-01
656	9.85E-03	-2.73E-02	3.28E-02	2.95E-02	-1.14E-01
672	-4.98E-02	-5.34E-03	1.93E-02	3.42E-02	-7.85E-02
688	-3.52E-02	-1.69E-02	-2.44E-03	5.56E-02	-7.85E-02
704	-4.14E-02	-1.54E-02	1.59E-02	4.25E-02	-1.09E-01
720	-4.47E-02	-1.54E-02	9.14E-03	4.86E-02	-8.61E-02
736	-1.60E-03	-5.35E-03	1.01E-02	4.14E-02	-6.64E-02
752	3.91E-03	8.56E-03	8.31E-03	2.90E-02	-6.09E-02
768	-1.31E-02	1.36E-02	-5.12E-03	7.33E-02	-3.23E-02
784	-9.58E-02	5.14E-03	-4.84E-02	7.08E-02	-6.57E-02
800	2.00E-02	8.08E-04	-4.99E-02	5.81E-02	-3.62E-02
816	7.75E-02	-1.83E-03	1.07E-02	6.14E-02	-6.43E-02
832	9.50E-03	2.54E-02	-4.35E-02	5.26E-02	-4.52E-02
848	1.14E-04	1.88E-02	-4.06E-02	6.83E-02	-5.27E-02
864	2.55E-02	2.46E-02	-8.02E-02	1.59E-01	-3.98E-02
880	-3.80E-03	1.36E-02	-1.04E-01	1.14E-01	-2.90E-02
896	4.02E-03	1.11E-02	-1.21E-01	3.66E-02	-4.86E-03
912	-7.45E-03	3.19E-04	-7.76E-02	1.76E-01	-3.29E-02
928	-2.52E-03	-6.11E-03	-1.07E-01	8.69E-02	-4.72E-02
944	-6.21E-02	-2.25E-03	-1.36E-01	1.22E-01	1.37E-02
960	-2.19E-02	2.15E-03	-1.09E-01	1.26E-01	2.38E-03
976	3.67E-02	3.05E-03	-6.49E-02	7.17E-02	3.20E-03
992	-1.46E-02	-5.17E-03	-5.92E-02	4.06E-02	-4.50E-03
1008	3.48E-03	-7.99E-03	-8.36E-02	4.07E-02	1.33E-02
1024	7.19E-03	3.02E-03	-1.11E-01	1.41E-01	-1.09E-02
1040	3.52E-03	-7.64E-03	-1.07E-01	6.88E-02	5.32E-03
1056	1.26E-03	-1.50E-02	-1.10E-01	5.96E-02	-1.22E-02
1072	-2.96E-02	-6.23E-03	-5.04E-02	1.17E-01	1.63E-02
1088	-3.92E-03	-1.62E-02	-2.58E-02	7.53E-02	-2.71E-04
1104	-1.88E-02	-4.30E-04	-3.81E-02	1.00E-01	-1.28E-02
1120	-1.89E-03	-5.23E-03	-5.88E-02	2.03E-02	-5.10E-03
1136	-2.55E-02	-1.06E-02	-4.57E-02	3.30E-02	1.98E-02
1152	2.43E-02	-2.07E-02	-1.87E-02	4.48E-02	1.34E-02
1168	-5.44E-02	-1.25E-02	-5.71E-02	2.11E-02	-1.66E-02
1184	3.59E-02	2.18E-04	-1.85E-02	4.08E-02	-1.83E-02
1200	3.82E-02	2.87E-03	-4.22E-02	3.22E-02	-1.01E-03
1216	1.43E-02	4.27E-03	-3.63E-02	2.64E-02	1.25E-02
1232	-1.03E-02	-1.30E-02	-4.94E-02	-3.62E-02	-6.87E-03
1248	2.56E-02	1.07E-02	-1.83E-02	-4.66E-02	1.01E-02
1264	-1.90E-02	5.33E-03	-4.67E-02	1.94E-02	6.09E-03
1280	3.12E-02	1.54E-02	-6.12E-02	4.01E-02	-3.46E-02
1296	-5.48E-02	-8.08E-03	-4.57E-02	2.75E-02	-9.75E-03
1312	-1.71E-02	-1.32E-02	-4.72E-02	-1.79E-02	1.16E-02
1328	3.24E-02	3.31E-03	-5.45E-02	-6.90E-02	2.90E-02
1344	2.48E-03	3.80E-03	-1.05E-02	5.14E-02	-3.93E-02
1360	-8.02E-03	-8.60E-03	-1.47E-02	4.98E-02	4.10E-03
1376	3.07E-02	-2.17E-02	-6.05E-02	9.34E-03	-3.99E-02
1392	3.17E-02	-1.60E-02	-8.98E-02	-1.38E-02	-2.81E-02
1408	-1.49E-02	9.47E-04	-4.70E-02	-8.71E-04	-3.62E-02
1424	-3.30E-02	1.44E-02	-5.09E-02	6.50E-02	-3.91E-02
1440	1.04E-02	1.25E-03	-3.80E-02	-3.04E-02	-5.97E-02
1456	3.16E-02	-2.86E-03	-6.08E-02	-1.09E-02	-1.70E-02
1472	-1.38E-02	-1.06E-03	-7.12E-02	3.37E-03	-1.86E-02
1488	-1.11E-02	3.25E-03	-9.11E-02	7.80E-03	-2.53E-02
1504	-1.95E-02	-1.47E-02	-5.72E-02	5.22E-02	-3.64E-02
1520	-1.80E-02	-8.19E-03	-9.10E-02	-2.37E-03	-3.85E-02
1536	7.14E-03	-1.03E-02	-9.41E-02	-4.50E-02	-4.74E-02
1552	5.11E-03	-1.54E-02	-8.69E-02	-2.97E-02	-5.10E-02
1568	-4.17E-02	-1.86E-02	-7.90E-02	2.64E-02	-6.60E-02
1584	-3.62E-02	-1.40E-02	-2.49E-02	1.36E-02	-4.83E-02
1600	-1.46E-04	-2.54E-02	-7.32E-02	1.17E-02	-5.54E-02
1616	1.05E-02	4.04E-03	-4.62E-02	2.40E-02	-7.55E-02
1632	3.97E-02	-1.11E-02	-4.35E-02	1.12E-02	-5.68E-02
1648	-1.71E-02	-6.34E-03	-6.73E-03	1.96E-02	-6.73E-02
1664	5.91E-02	-9.46E-03	-4.24E-02	1.57E-02	-4.72E-02
1680	4.92E-02	-1.72E-02	-6.41E-02	-1.57E-02	-4.95E-02
1696	-6.66E-02	-1.30E-02	-7.35E-02	1.10E-02	-2.61E-02
1712	2.38E-02	-9.44E-03	-6.08E-02	5.56E-02	-5.20E-02
1728	7.70E-03	4.81E-03	-2.63E-02	8.13E-02	-7.74E-03
1744	2.36E-02	2.01E-04	-4.22E-02	5.44E-02	-8.31E-03
1760	-2.49E-02	-4.96E-03	-5.35E-02	1.00E-02	-2.92E-02
1776	-5.28E-02	-6.23E-03	-7.11E-02	3.05E-02	-1.90E-02
1792	7.75E-03	-8.33E-03	-2.68E-02	6.54E-02	-6.31E-02
1808	3.09E-02	-6.48E-04	-3.54E-02	8.14E-02	-4.49E-02
1824	-6.39E-02	-1.10E-02	-4.46E-02	7.23E-02	-3.51E-02
1840	4.20E-03	-3.92E-03	-4.98E-03	7.63E-02	-1.98E-02
1856	5.00E-02	5.56E-03	-1.70E-02	3.23E-02	-1.02E-02
1872	-6.70E-02	-7.86E-03	-5.72E-03	9.07E-02	-4.34E-02
1888	3.67E-02	1.96E-03	-5.49E-02	8.68E-02	-1.13E-02
1904	7.95E-03	-4.68E-03	-2.63E-02	8.62E-02	-2.28E-02
1920	1.45E-02	1.37E-02	1.24E-02	5.87E-02	-6.57E-03
1936	2.73E-02	-9.66E-03	2.11E-02	6.02E-02	-2.40E-03
1952	5.75E-02	-1.40E-02	-4.51E-02	4.66E-02	-3.02E-02
1968	-1.11E-02	-1.45E-02	-3.29E-02	5.87E-02	-3.68E-02
1984	-4.49E-02	1.98E-02	-1.92E-02	5.53E-02	-1.82E-03
2000	-8.38E-04	-5.82E-03	-4.95E-02	5.28E-02	2.54E-02
2016	8.20E-03	2.07E-02	-9.86E-03	4.72E-02	-3.62E-02
2032	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
