# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-83.199 -23.1095 -28.1914 -11.817 -18.9841 4.83962
-92.2895 9.905 -23.8746 3.92155 -17.4834 4.91223
-67.1204 -28.6189 -34.1994 -16.2128 -17.934 4.79983
-74.2723 -18.965 -29.4833 -10.0763 -16.1385 4.88976
-81.9434 -18.9163 -32.7679 -7.66691 -16.8052 4.85404
-79.3489 -34.9446 -30.1534 -17.4683 -18.7814 4.78123
-89.8122 -12.2284 -25.4121 -3.45621 -17.5537 4.86032
-73.7932 -14.5318 -27.0084 -12.2122 -18.225 4.78195
-69.7986 -47.4501 -31.8736 -21.8551 -19.7546 4.77534
-72.9599 10.6154 -17.428 -2.44725 -12.6823 4.83285
-68.3708 -22.9956 -32.4493 -12.8359 -19.875 4.81428
-63.6729 30.5001 -3.16569 -1.89213 -11.6452 4.6774
-74.1282 59.0263 -13.0699 4.84827 -16.5429 4.41535
-98.9424 57.762 -36.2924 8.61893 -17.0772 4.5546
-41.3166 44.5892 19.1693 5.41928 -9.0655 4.58564
-65.0091 31.5203 -7.36971 -1.78519 -12.6606 4.71038
-58.3206 51.0868 4.33355 4.73857 -13.8657 4.45654
-78.2138 37.9655 -13.4783 -0.916478 -17.8822 4.58261
-73.5949 -20.6957 -25.9982 -11.5799 -18.0881 4.8792
-62.3546 -28.3132 -30.2443 -20.5171 -17.9491 4.85792
-79.5569 -14.5088 -27.4616 -5.43401 -16.7913 4.8547
-68.5314 24.501 -10.5167 3.85537 -17.8145 4.83453
-80.0277 -0.135746 -22.6696 3.90256 -16.9681 4.79791
-89.3214 7.7807 -25.5034 3.16878 -18.451 4.85786
-82.8142 -28.7538 -27.0817 -9.55658 -15.7432 4.91442
-74.6489 -26.2485 -23.8893 -10.7286 -16.5943 4.85676
-70.9823 -25.9236 -24.3687 -16.6801 -19.6856 4.83293
-74.2083 -22.3335 -36.2012 -6.96793 -16.5058 4.8319
-73.4996 -10.6404 -27.51 -1.42948 -18.8435 4.81782
-78.2427 -40.0904 -30.3646 -19.262 -19.1745 4.84734
-68.4113 -45.2054 -33.4225 -21.7368 -18.0429 4.86613
-84.1705 -26.7909 -29.2626 -9.9279 -17.149 4.82269
-90.4186 -20.6737 -28.4386 -5.63055 -17.2551 4.77071
-95.4533 -27.1298 -17.9761 -2.80148 -19.2629 4.83073
-87.8312 -16.6356 -22.2995 -10.0081 -15.4235 4.90652
-92.4726 -14.4147 -25.6038 -1.42074 -18.5582 4.7774
-78.1128 -32.1877 -34.8644 -17.2949 -18.9499 4.84561
-101.474 -7.48664 -24.2537 4.04807 -16.5587 4.72795
-70.1861 -19.859 -29.9524 -11.1644 -16.2184 4.87411
-84.005 -28.1654 -37.9534 -9.9965 -20.9783 4.81434
-84.6553 -6.16648 -31.6603 -6.47255 -19.5534 4.766
-66.3867 -19.2459 -25.0613 -11.5211 -15.4488 4.74899
-71.3155 -20.4987 -32.2398 -8.88832 -17.3431 4.90166
-70.0838 -22.2728 -24.2999 -14.5751 -17.4316 4.79423
-78.5922 -19.2864 -17.7884 -4.46499 -13.6403 4.85908
-91.6667 -16.7305 -14.2253 -4.70236 -16.8195 4.85058
-97.0891 5.25244 -21.6885 10.8967 -17.3554 4.79723
-66.6566 -26.7576 -35.5039 -16.3223 -20.3547 4.85061
-68.4355 -31.8123 -31.6395 -19.2789 -16.6439 4.7979
-90.3891 -18.6466 -16.9332 -9.13856 -13.893 4.8748
-79.3677 -27.7646 -35.7821 -14.3473 -18.0056 4.86911
-72.2379 -15.6915 -34.1274 -5.96949 -16.0335 4.88936
-74.2372 -34.4945 -28.9368 -13.0557 -15.7689 4.82162
-70.9284 -30.4575 -33.3816 -12.3131 -19.106 4.86958
-84.5153 -21.7181 -25.2798 -6.12149 -17.5289 4.80012
-73.1973 -11.6721 -28.807 -3.35042 -14.819 4.83735
-67.9462 -29.7387 -30.4394 -15.486 -17.435 4.82856
-86.0821 -5.14518 -24.8475 4.32926 -17.586 4.86687
-95.9348 -30.07 -12.2348 -12.5088 -16.7307 4.88117
-89.964 -11.7512 -24.7281 -5.63595 -19.4553 4.84862
-61.9245 -31.1768 -35.0942 -16.4103 -18.1288 4.707
-80.863 -14.2353 -27.8516 -8.22314 -16.1882 4.84666
-66.677 -22.5187 -38.3693 -14.9823 -19.3252 4.81021
-90.9949 -10.7311 -23.6343 -0.387927 -17.8521 4.83718
-73.5909 -18.199 -28.3722 -9.30736 -18.6213 4.7991
-70.728 -33.2443 -39.202 -13.8093 -20.4098 4.87508
-77.4907 -25.1136 -26.0759 -6.79805 -15.5809 4.79778
-85.4023 -27.8981 -29.7713 -5.85731 -18.4806 4.85565
-80.5256 -18.5942 -22.7481 -14.7331 -18.9715 4.79689
-71.5159 -16.9158 -23.7209 -16.0669 -18.4921 4.84765
-58.841 -17.8498 -34.4082 -18.1687 -17.9769 4.82246
-69.3956 -21.5528 -31.3489 -15.4277 -16.7805 4.91319
-96.6525 -1.46497 -27.5387 7.35416 -19.5417 4.8234
-78.0176 -27.254 -30.2998 -12.9073 -20.2758 4.87404
-87.1394 -10.0644 -21.6798 -7.44925 -16.9329 4.90188
-73.844 -24.8436 -30.5087 -10.5252 -17.9916 4.83622
-94.1993 -35.3297 -13.4931 -16.0784 -18.1955 4.76856
-98.3834 -2.76954 -20.1232 -1.79108 -15.1124 4.90868
-84.6795 -8.87579 -19.9276 -2.83354 -17.9395 4.85315
-72.7272 -25.261 -33.1672 -11.5752 -18.0491 4.77338
-84.8832 -33.7244 -24.6587 -15.2074 -17.1748 4.93041
-82.3238 -22.3194 -22.984 -2.73809 -17.7567 4.90822
-83.4684 -4.58679 -28.8663 -4.84353 -19.048 4.90029
-86.8489 -8.04752 -22.1306 -5.95233 -18.4133 4.81703
