# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-135.206 19.4914 15.8729 12.4935 46.4611 6.18189
-135.239 9.13231 22.4746 5.31221 43.5286 6.16361
-113.439 15.9058 50.6651 0.350121 47.2331 6.08746
-153.904 11.1009 31.494 7.2962 49.2746 6.11487
-116.764 27.9939 60.3529 8.36812 58.8269 6.01847
-116.534 8.05075 28.8731 1.04415 38.9196 5.99452
-98.0616 19.1338 60.3776 5.35066 51.7614 6.08034
-96.0686 32.494 58.1849 10.5727 51.2795 6.21313
-97.7508 18.7072 36.2398 8.28669 41.8562 6.17484
-100.697 23.7352 53.2365 7.01897 50.6614 6.14042
-77.8859 35.3071 70.8425 10.8677 47.2994 6.16919
-103.043 37.4813 66.5824 8.41811 51.6944 6.04461
-114.439 28.0877 53.8112 13.845 54.4972 6.07627
-107.906 36.017 74.551 16.1492 65.6629 6.18778
-126.382 15.1627 36.7717 11.2539 48.3397 6.13859
-136.898 14.3651 36.243 8.30697 56.3139 6.1188
-116.207 20.7769 43.8314 5.626 51.3016 6.16181
-100.766 28.5851 56.5568 7.09 49.2768 6.15827
-103.598 24.0646 45.7446 5.31649 41.6523 6.15706
-111.233 16.4867 42.0456 8.66589 53.0491 6.11707
-85.5467 22.7342 65.6582 5.35203 48.8701 6.09861
-92.6177 25.9799 67.7399 9.0935 51.9922 6.12881
-163.142 2.64387 45.2789 8.69702 60.9764 6.14575
-161.162 -6.79255 25.4935 4.00828 51.5012 6.1403
-152.036 13.1747 31.8227 12.8153 59.9558 6.09206
-98.2364 24.9737 45.481 2.6827 40.811 6.22853
-140.33 -2.75658 20.4946 -2.0807 43.8784 6.00305
-143.063 19.8161 41.347 9.69344 50.7947 6.14731
-115.904 8.7391 41.0834 -4.79625 43.9867 6.09133
-96.1991 35.7278 76.0895 6.56316 56.3307 6.1571
-94.587 12.4869 47.1465 -0.786802 47.7061 6.14196
-145.948 15.1007 42.3128 5.85963 55.3379 6.18976
-127.664 26.8746 48.9655 6.39098 49.3376 6.18204
-38.615 0.857626 91.5723 -0.343653 69.8434 5.98877
-115.252 22.58 46.2396 2.68151 46.4763 6.18366
-94.5396 28.1922 69.715 12.2713 58.8033 6.03885
-142.42 22.174 33.0383 12.0746 45.1242 6.22385
-129.453 17.7787 48.7869 4.57067 53.7081 6.09301
-128.704 21.371 41.8961 8.04624 53.3892 6.21697
-138.549 16.2426 45.9053 6.69048 54.7467 6.0715
-131.195 3.44135 -3.35723 0.750538 32.2586 5.90492
-117.554 28.6527 52.5495 7.52348 50.1405 6.2229
-138.721 9.94863 31.9457 7.82112 49.0839 6.2198
-151.133 3.02593 32.0485 9.48395 57.2418 6.20536
-167.391 22.4962 45.8956 19.1 61.3712 6.08476
-113.767 24.5577 55.3341 10.4168 52.277 6.17459
-167.203 6.23365 42.6235 10.0396 54.2395 6.09422
-154.74 18.7494 39.8869 9.38562 52.6173 6.13528
-97.3826 13.8809 35.0694 0.205556 39.5491 5.93513
-165.163 -7.53492 28.033 7.33073 53.5355 6.01012
-135.26 10.5983 39.775 0.177627 46.4927 6.10394
-140.469 7.88771 28.6803 7.84837 56.5356 6.17294
-125.573 14.2891 37.8439 10.0785 53.6653 6.13519
-99.4854 33.3278 52.8666 9.15044 43.9663 6.1264
-101.773 24.1007 63.3998 6.0229 53.3927 6.18667
-116.969 27.1694 47.1428 7.20503 50.9004 6.2203
-130.199 24.006 39.9292 12.3123 56.0135 6.12758
-149.432 -4.50271 21.2379 4.33792 50.3424 6.24955
-158.228 9.82741 30.1486 16.5949 57.1075 6.10017
-118.527 12.6249 -3.49096 5.03936 32.5237 5.9345
-140.541 8.1116 40.5586 8.32854 53.2892 6.03636
-141.993 24.3018 41.0983 10.7283 50.0007 6.17347
-154.334 3.96725 21.4026 1.59749 45.2383 6.13104
-128.215 13.2696 38.7015 4.31125 49.1038 6.19098
-113.602 24.2209 57.3178 10.0208 57.8941 6.00948
-136.222 22.1168 46.7372 17.255 60.982 6.08383
-101.646 25.2881 63.7658 8.12191 55.3082 6.06742
-141.852 0.0185233 27.6521 0.427155 43.0631 5.95144
-135.499 24.6961 48.2951 17.2221 68.0973 5.99986
-143.678 -1.29024 25.4088 4.56222 46.8134 6.05147
-124.073 13.5745 36.8166 -3.6073 41.793 6.13873
-153.492 3.71383 25.971 4.26097 46.8308 6.04566
-121.736 5.83422 41.2879 1.36586 52.5304 6.0303
-145.706 3.62431 35.974 5.43488 55.6941 6.1299
-137.873 13.0846 32.3433 8.55338 50.8706 6.13512
-113.396 31.8572 57.1709 7.73598 49.0677 6.17549
-153.714 7.40122 11.5586 9.82794 45.7324 6.07019
-126.153 17.5645 28.827 5.67593 45.3466 6.29018
-140.117 10.4419 23.2978 10.56 50.7516 6.21828
-110.912 5.80463 36.3513 -0.0111761 44.981 6.09367
-88.6874 18.6748 69.1129 1.90055 45.53 6.11205
-156.02 1.03764 19.9718 8.19801 51.7016 6.12645
-140.253 4.95252 23.4465 6.5986 46.2405 6.13422
-117.95 31.2608 43.0292 11.8091 46.2215 6.17953
-112.364 26.5547 57.4037 3.05361 52.0641 6.18152
-159 13.4791 36.0944 10.2489 54.859 6.13107
-85.9093 29.7748 73.2933 9.08787 58.8564 6.10037
-102.166 24.8183 73.7599 9.05365 63.8006 6.02027
-141.94 8.93318 32.185 6.77098 49.4573 6.2205
-130.971 18.3075 49.88 -1.18611 45.4882 6.04229
-100.638 31.0941 74.9492 8.82851 55.3895 6.09287
-104.669 11.2104 38.6888 4.1533 46.7417 6.09244
-128.873 22.8257 24.4048 14.6585 52.8096 6.16422
-113.849 39.4581 59.7705 11.1637 53.4029 6.13897
-111.534 16.9679 33.2948 5.05963 42.9028 6.13292
-90.3335 39.2376 62.5808 17.0999 52.0223 6.13153
-138.355 7.95193 17.6214 4.37632 45.33 6.19568
-104.225 23.978 58.0034 10.1017 53.1306 6.26807
-153.952 14.5196 39.0283 18.6438 60.5778 5.99234
-117.047 21.79 58.0923 9.0114 53.7954 6.07718
-140.381 7.61154 23.4217 6.71059 53.7139 6.1613
-151.206 -0.702932 19.1816 -2.22666 45.4691 6.16187
-162.956 -3.85051 23.5974 9.02929 48.4136 6.14848
-159.489 -8.28365 31.0164 -6.66135 47.7212 6.07899
