# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-97.3464 17.1751 -29.9348 8.50976 -17.1999 4.77017
-91.6515 -6.15963 -28.2653 -0.203152 -16.4691 4.70253
-76.1343 -21.0854 -31.2632 -8.06257 -16.0769 4.8661
-89.6493 -16.4789 -23.1656 -4.45564 -17.7273 4.89152
-105.483 11.0527 -36.116 15.1419 -22.5898 4.83744
-85.9158 -20.9105 -25.2606 -8.42194 -15.4003 4.87312
-94.5556 0.640821 -17.972 -5.99308 -16.5332 4.83147
-75.8178 -22.9452 -25.1483 -12.0474 -18.2201 4.8451
-86.4362 -11.856 -18.8093 -4.20648 -15.0324 4.76734
-57.7888 -24.1885 -40.9125 -10.5879 -19.0335 4.79569
-71.0339 0.0827922 -29.492 -2.56387 -18.1002 4.79192
-86.0471 -26.7574 -20.3068 -9.10051 -17.6943 4.77469
-78.7809 -18.0293 -31.0688 -14.0097 -17.9859 4.83133
-79.4891 -25.2223 -28.6961 -13.3716 -18.7917 4.79958
-81.2572 -12.2695 -14.693 -4.89944 -14.9928 4.72012
-76.2732 -11.5203 -25.2703 -2.63199 -14.996 4.77494
-82.8383 -4.71204 -25.3652 -3.06614 -18.5249 4.82611
-82.5409 -12.9418 -32.9766 -2.81773 -21.2178 4.82599
-83.0143 -13.7494 -26.0895 -7.28435 -20.2076 4.78601
-94.8836 -3.86238 -30.4115 -4.84337 -18.8594 4.81736
-72.5139 -27.9017 -36.8566 -12.786 -18.8747 4.77392
-68.5207 -38.5015 -35.1756 -18.3792 -14.969 4.74681
-86.379 -27.0273 -31.7229 -21.0462 -21.4227 4.75682
-95.8821 7.24203 -21.7907 6.95492 -18.2833 4.79477
-71.2449 -21.7788 -31.4493 -14.4867 -18.1306 4.80629
-78.6162 -21.2995 -23.5722 -7.22968 -18.1795 4.80003
-75.3178 -37.0454 -29.542 -21.2186 -20.7228 4.70458
-88.1732 -29.9191 -23.3285 -17.94 -18.8196 4.8616
-82.3719 -6.68772 -21.7123 -3.89508 -16.4904 4.79685
-76.2093 -38.5639 -28.7505 -20.3309 -19.8986 4.82625
-78.9511 -25.4974 -30.9765 -13.478 -18.8892 4.8101
-84.3106 7.2079 -33.2745 5.55643 -17.6509 4.7818
-86.3924 -4.98507 -21.3247 -7.44974 -19.5003 4.7356
-74.298 -10.6008 -28.7813 -5.83971 -18.4003 4.83816
-50.8097 48.0203 2.43843 7.95178 -12.3236 4.56269
-88.3445 -21.1629 -32.4381 -9.88974 -20.0164 4.72545
-81.0221 -16.5458 -24.2644 -5.98393 -13.1658 4.926
-70.6217 -39.7993 -35.0312 -20.1255 -14.8497 4.76201
-72.7784 -18.1095 -35.0783 -10.6978 -19.5474 4.89719
-79.5411 -24.9998 -21.3807 -14.1587 -14.9545 4.86685
-60.1693 -20.8535 -37.9158 -14.8683 -16.1139 4.80502
-75.526 -18.398 -26.3169 -10.2762 -17.4368 4.84516
-81.943 -9.70264 -25.5926 -4.24485 -18.9264 4.80388
-92.8877 -21.7399 -30.8165 -15.6165 -22.35 4.8139
-70.4409 -24.878 -26.4972 -13.33 -18.7569 4.94422
-76.0345 -20.3873 -25.7904 -13.0549 -15.93 4.93073
-84.9916 -8.8904 -32.5977 0.487225 -20.6137 4.80251
-79.3509 6.81743 -25.9091 -4.91098 -17.5497 4.90679
-83.0471 -25.1181 -30.9202 -11.4597 -19.9685 4.91489
