# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-89.8954 -10.9098 -22.4582 -1.01469 -17.2398 4.77156
-69.9118 -20.6194 -36.0702 -16.3797 -18.1221 4.87629
-72.3862 -29.8635 -37.3528 -15.6272 -20.6545 4.76959
-82.4091 -9.10411 -24.5754 -5.58677 -16.945 4.7794
-74.7664 -12.0395 -29.3295 -8.49195 -15.57 4.82942
-83.4229 -20.5856 -27.9921 -6.39484 -18.6229 4.81231
-68.409 -33.1237 -30.5862 -20.7486 -16.7222 4.82985
-75.1037 -4.97987 -23.8499 0.259262 -16.8317 4.79921
-84.9984 -0.0540272 -19.3749 -2.44222 -16.6389 4.80845
-83.6222 -13.0166 -24.8941 -1.59276 -18.378 4.95281
-81.4062 -2.76813 -29.3088 -6.45164 -19.8186 4.80867
-70.3999 -24.4654 -25.3022 -14.1314 -15.9351 4.89747
-81.4959 -17.2603 -23.9733 -8.3853 -16.7215 4.82557
-97.2912 -7.91543 -23.6834 -2.83611 -17.8002 4.70891
-87.6915 -8.78337 -27.519 -3.86065 -18.9461 4.81485
-82.4315 -20.1438 -19.5796 -9.85591 -16.562 4.85359
-79.0471 -16.8639 -29.4239 -11.5677 -17.6133 4.85563
-102.983 2.75337 -20.3555 5.47059 -18.2523 4.74074
-87.9432 -29.7656 -23.7464 -13.0284 -19.2901 4.94684
-88.6974 -4.44879 -33.8553 1.40433 -15.9145 4.85038
-83.5354 -17.2376 -23.9187 -7.44824 -16.4691 4.87443
-81.0629 -22.3615 -23.8796 -11.1299 -17.1975 4.87413
-88.0333 12.0467 -24.4137 5.64146 -17.3044 4.81266
-70.2834 -27.0411 -32.3028 -15.1364 -17.8609 4.86026
-81.1001 -8.79667 -21.3847 -1.21235 -17.3059 4.83183
-108.349 3.03714 -22.3285 5.46978 -18.1712 4.82306
-92.4149 -24.6349 -22.8846 -7.61661 -16.6221 4.92386
-79.747 -23.5737 -27.4019 -13.1802 -14.3445 4.81428
-89.289 7.85704 -33.1599 5.43964 -19.4362 4.79587
-80.0775 -15.7883 -33.2207 -6.32945 -17.8472 4.84412
-98.8845 0.104531 -23.2534 5.77269 -16.1811 4.92218
-92.4574 -19.9515 -22.4886 -5.76758 -18.5901 4.78206
-82.2912 3.76546 -27.899 6.29392 -16.0633 4.79436
-76.7795 -6.55679 -21.1812 -1.07518 -14.8984 4.73855
-87.0575 -5.67913 -34.3609 -1.24461 -19.0151 4.80083
-90.3729 -9.97056 -22.5642 -5.0657 -15.6779 4.78881
-59.9092 -9.03661 -34.5369 -4.84819 -17.1419 4.81225
-73.8582 4.80483 -22.6891 -9.75056 -17.4855 4.97531
-101.331 22.4089 -20.822 15.3745 -18.9772 4.71073
-87.7895 -6.39445 -27.3567 -0.744708 -16.586 4.89385
-78.6535 -18.5296 -27.3415 -14.3013 -22.3368 4.76465
-96.974 2.77174 -25.8846 1.55017 -16.5932 4.71856
-72.4041 -5.0913 -29.0063 -10.8894 -18.2849 4.85612
-93.7584 -5.47939 -20.9179 -0.524249 -15.9819 4.74542
-74.8201 -24.3431 -24.6342 -14.3385 -14.4537 4.93935
-76.8467 -19.258 -19.9465 -10.8446 -12.3362 4.78779
-82.9288 -2.19608 -34.1417 -1.72967 -16.1536 4.85733
-85.2189 -7.88889 -34.0788 -0.42172 -18.3457 4.89329
-75.5134 -13.3486 -32.0878 -5.42074 -16.5308 4.80758
-78.4337 -7.9279 -23.8131 -6.66875 -15.6341 4.84338
-68.7893 -28.8382 -28.5699 -20.0885 -19.1811 4.88634
-93.7445 -16.098 -24.8457 -9.5703 -17.3053 4.85238
-78.0551 -27.0097 -34.2454 -18.0338 -20.5129 4.89568
-71.3926 -27.5444 -27.5272 -11.798 -16.0446 4.80504
-83.8896 -3.33787 -22.171 -1.62988 -15.058 4.81633
-96.4963 17.1659 -24.1361 6.47512 -16.1411 4.6817
-82.185 -20.9396 -23.1851 -10.4961 -16.9186 4.8345
-75.5542 -23.7117 -35.1394 -13.193 -19.3207 4.73296
-87.0438 -11.8296 -27.2233 -8.05733 -16.5503 4.81235
-75.1976 -14.7161 -27.9371 -14.7562 -18.5396 4.79621
-60.6811 -18.9386 -39.6605 -10.6843 -18.7409 4.78399
-79.1048 -0.0656018 -25.8562 0.854638 -18.38 4.8667
-62.6866 -24.2155 -29.3399 -18.1089 -17.5633 4.83303
-79.2848 -2.59859 -20.6452 -6.97013 -14.7238 4.72223
-65.299 -15.0791 -38.6738 -11.527 -19.2802 4.77106
-82.0753 -3.80543 -40.469 -1.15972 -19.9998 4.82462
-82.9408 -17.1275 -24.4521 -8.1033 -17.5765 4.81091
-85.1555 -14.215 -19.4987 -3.65161 -15.0718 4.85867
-72.7573 -8.79073 -20.7678 -6.63586 -16.5443 4.87513
-68.6277 -13.2738 -23.6843 -5.14963 -14.9052 4.81572
-75.5373 5.22275 -20.8408 -3.90816 -14.3861 4.70505
-75.1548 -10.5867 -26.7137 -10.8375 -17.5509 4.9382
-78.8961 -13.7199 -30.2793 -13.1428 -15.1748 4.85124
-72.1252 -7.23299 -25.4165 0.52867 -15.7177 4.83619
-81.7095 -19.7669 -17.5764 -8.65961 -13.2478 4.8893
-90.6985 -1.96803 -22.3202 -2.12466 -14.45 4.86928
-76.3422 -11.0846 -16.9547 -3.0671 -14.979 4.77283
-77.6324 -19.8096 -31.8885 -7.09481 -19.8344 4.83989
-68.9847 -16.9917 -31.8032 -12.5388 -15.1656 4.80039
-78.1899 -15.6012 -28.668 -9.86218 -18.5444 4.90226
-77.5084 -13.4579 -26.732 -11.7183 -22.5122 4.83383
-79.9213 -17.6375 -28.606 -7.17329 -17.8653 4.8133
-84.674 -22.8807 -32.2069 -8.01776 -18.6999 4.82935
-78.0704 -5.56065 -26.5553 -4.37367 -15.0588 4.91257
-95.4276 -9.17069 -23.5193 -3.77221 -18.9277 4.77351
-85.6884 5.36824 -22.0552 -0.455841 -16.5032 4.79685
-73.7969 -10.0615 -26.8353 -6.78283 -16.7427 4.94045
-56.6983 34.0299 1.58368 -2.76207 -13.3408 4.66655
-81.9885 -13.2598 -28.7165 1.88022 -18.4417 4.75298
-71.4692 -15.8692 -29.7503 -10.2347 -19.4918 4.7646
-90.4212 6.77632 -26.3069 10.6314 -19.0153 4.7435
-124.801 47.598 -31.6843 26.2957 -24.5803 4.57065
-78.6589 -10.5883 -24.4779 -3.69354 -19.53 4.85595
-91.7191 -7.15555 -20.2244 -3.3007 -18.3397 4.77423
-74.2238 40.8311 -22.0032 6.15622 -14.272 4.6456
-70.8337 -13.6852 -25.3506 -8.40489 -18.6268 4.7779
-91.5248 -7.25725 -27.0703 -2.59549 -19.5265 4.84942
-78.3223 -24.7484 -36.5421 -9.74611 -22.4968 4.95743
-65.925 -20.408 -33.7845 -11.8546 -15.1585 4.83216
-87.6709 -26.9277 -31.3511 -13.0451 -20.5799 4.90844
-86.2915 -15.2795 -20.3914 -12.8142 -18.843 4.82963
-83.42 -23.6268 -28.168 -5.2016 -15.9865 4.9274
-76.5351 -14.6516 -31.1669 -2.56049 -17.7108 4.7997
-78.8539 -8.66813 -25.8166 -7.55592 -16.9753 4.78456
-79.6691 -15.4093 -32.4294 -8.87834 -15.9702 4.81136
-72.7412 -22.7195 -32.8458 -9.26852 -16.2983 4.91599
-77.3859 -20.5286 -33.2319 -9.06057 -18.23 4.90634
-92.7029 -7.85167 -24.2332 -4.06338 -17.5779 4.79786
-77.7845 -21.24 -26.4392 -14.2565 -18.8589 4.83186
-73.827 -4.25869 -30.1344 -5.60343 -18.9173 4.86132
-81.4977 0.666281 -25.2877 -3.42546 -19.358 4.77214
-90.3228 -11.8921 -36.3512 0.75656 -19.548 4.85706
-80.2677 -22.5699 -26.9305 -15.2512 -17.7748 4.79765
-63.1495 -26.9179 -37.8884 -15.3535 -18.9038 4.82333
-76.058 -17.7825 -25.4224 -2.35987 -14.6539 4.77643
-77.4195 -13.9606 -30.0109 -4.59835 -16.2326 4.8775
-90.5392 8.81583 -36.0992 7.43844 -18.3318 4.72945
-79.9416 -7.21205 -32.8972 -5.58584 -20.7162 4.8064
-91.2267 -7.22414 -26.6393 -0.412584 -18.6044 4.78276
-76.2479 -16.1889 -30.7103 -4.32507 -16.7793 4.85104
-84.282 -14.9559 -28.3887 -10.7305 -17.6885 4.75187
-76.3202 -16.2083 -31.7484 -6.90721 -16.4916 4.80604
-76.4832 -11.1826 -37.4716 -6.82042 -20.6503 4.84336
-78.4091 -11.4907 -30.6552 -1.80025 -17.4177 4.84961
-75.9299 -31.2532 -41.3823 -18.3852 -24.1861 4.82413
-67.7255 1.26136 -29.9542 -7.65112 -15.2129 4.84304
-87.7484 -17.258 -38.8369 -11.3105 -19.019 4.89627
-81.4062 -10.9791 -19.6132 -7.66728 -11.5103 4.80556
-62.9365 -35.0491 -38.2377 -16.1633 -18.3016 4.79728
-75.2563 -14.6971 -19.5492 -9.05748 -16.6685 4.83858
-57.3388 -27.2058 -38.6727 -13.1191 -19.3604 4.71573
-70.1301 -21.429 -26.413 -17.4854 -15.3837 4.88471
-78.0736 -6.96253 -24.1916 1.59397 -15.2867 4.78183
-82.837 -9.30748 -28.9715 -2.49717 -19.7881 4.87663
-81.2612 -6.61124 -25.5207 -5.25007 -13.3278 4.8936
-80.2497 -20.245 -30.0624 -10.395 -16.1398 4.83176
-80.3413 -12.4027 -31.4486 -8.00504 -18.683 4.79035
-62.8843 -12.4779 -28.9333 -11.0928 -15.8666 4.78659
-98.3503 -7.79892 -22.7897 0.106503 -17.7489 4.88781
-78.3587 -28.206 -34.8604 -11.4678 -21.7722 4.80301
