# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-139.126 17.3724 -168.847 17.4896 -156.07 7.19848
-145.781 8.72431 -176.645 10.2695 -154.312 7.27784
-110.59 8.50309 -165.232 4.37162 -156.991 6.93937
-123.101 9.43421 -169.954 7.00843 -157.222 7.01222
-101.904 29.5442 -145.086 11.7423 -154.031 7.12002
-137.99 1.75351 -178.675 10.2892 -156.448 7.16716
-110.522 21.206 -159.792 13.0135 -156.61 7.01283
-121.273 17.7826 -160.633 14.1706 -158.916 7.1298
-148.745 -3.73461 176.556 10.9293 -157.275 7.10421
-179.705 -11.1866 -175.656 10.2651 -157.008 7.32591
-130.897 14.3499 -152.82 13.7126 -148.708 6.80824
-110.256 21.4509 -148.08 10.3146 -150.964 7.08567
-148.66 -7.13809 122.247 3.72344 163.689 7.30112
-142.722 -3.48828 135.667 9.88684 175.381 7.28956
-76.4731 18.3336 156.697 7.76615 148.581 7.19729
-91.7954 23.1686 147.969 9.73465 149.303 7.17306
-117.332 27.918 135.013 20.2232 159.235 7.30673
-159.883 -10.8149 116.473 10.5028 146.012 7.23894
-109.879 17.012 153.358 7.74846 165.999 7.20846
-13.3535 -13.1303 -108.195 9.95209 -143.581 6.87344
-140.748 3.466 -147.52 6.481 -136.291 6.88238
-124.956 16.4628 -162.517 6.38444 -156.781 7.0992
-122.473 7.1601 -170.145 4.69797 -162.598 7.09164
-107.846 17.803 -153.838 10.4745 -154.027 7.31736
-80.9682 24.7293 -133.708 8.51083 -151.622 7.27792
-105.773 20.1203 -158.098 15.9075 -161.752 7.2052
-112.812 17.4829 -123.476 5.7895 -137.914 6.94606
-153.988 -2.9625 179.58 11.1064 -154.338 6.99753
-101.38 19.5939 -163.137 12.7899 -161.996 7.12924
-103.178 28.251 -154.452 13.4971 -158.296 7.11283
-143.256 13.1596 -162.916 17.8349 -152.435 7.22896
-137.976 1.48473 131.844 9.20132 162.891 7.14919
-88.2446 24.3414 169.455 9.28369 168.667 7.20712
-111.753 25.1641 137.907 10.7679 151.806 7.21215
-131.419 -2.01613 137.561 3.08806 165.946 7.22984
-102.522 9.80118 148.938 2.9308 155.594 6.97591
-147.145 -2.50945 120.083 7.38583 168.123 7.15235
-71.2627 22.7067 158.262 7.47245 156.492 7.22798
-99.8306 22.4152 -172.348 8.54221 -166.579 7.30432
-98.9794 23.7456 -160.776 14.047 -159.307 7.26365
-153.063 -2.83933 -177.96 11.3953 -153.402 7.22254
-108.191 18.2961 -157.152 12.73 -153.362 7.2154
-106.591 18.3094 -160.78 12.9003 -151.738 7.15866
-112.348 15.133 -153.357 5.07861 -155.573 7.17033
-148.543 -1.88613 -169.76 10.2045 -152.135 7.06452
-142.504 26.9835 -160.288 19.6478 -152.934 7.00954
-94.1111 26.7694 -143.669 12.7716 -151.501 7.18618
-108.445 9.33943 172.081 3.22895 174.821 7.08337
-108.417 20.017 -163.24 8.10149 -161.406 7.15695
-110.281 27.623 -143.655 10.8729 -151.072 7.23073
-81.0692 31.9924 -149.219 19.8743 -159.003 7.29416
-125.5 16.888 -174.183 11.5297 -161.648 7.23269
-138.745 -7.6864 -173.785 7.63089 -158.877 6.90959
-136.811 12.9626 175.043 14.4196 -173.634 7.06829
-149.485 0.967435 -178.368 11.6401 -158.955 7.18278
-134.963 8.40914 -176.909 3.88493 -167.44 7.18798
-100.446 11.0266 158.588 1.05722 161.344 7.17118
-112.216 18.7115 -147.978 12.2851 -148.694 7.11122
-127.39 10.9864 -156.257 11.068 -149.216 6.95117
-102.583 37.7471 -128.325 13.3587 -149.688 7.18022
-122.279 4.33242 143.651 5.71578 160.735 7.08728
-120.736 -1.61706 127.433 -0.158663 158.228 6.98596
-99.0767 11.6364 149.861 6.24713 158.587 7.0489
-137.665 14.273 115.235 9.24522 141.963 7.12768
-94.7771 16.5612 141.016 9.44257 148.072 7.12364
-112.854 11.7147 142.072 7.49879 150.527 7.02079
-121.107 13.3624 142.358 3.49977 152.702 7.13349
-127.841 25.9994 -139.737 11.4978 -141.134 7.26305
-102.382 26.9418 -157.116 6.56787 -163.923 7.1944
-102.617 13.8243 -167.884 5.4585 -165.959 7.02075
-102.951 19.4472 -153.674 12.0097 -154.967 6.96977
-109.562 25.6736 -151.335 11.4824 -153.836 7.18842
-95.6345 21.0191 -162.989 12.4565 -161.971 7.05375
-173.079 -11.9281 -166.568 8.07574 -147.94 7.00117
-143.8 6.28856 -163.657 7.58277 -150.11 7.21624
-88.1549 21.0277 -143.185 10.8313 -152.562 7.14064
-143.289 0.528291 -165.096 7.40131 -148.611 7.20718
-98.4082 33.2007 -135.289 14.9115 -147.672 7.15453
-137.786 18.3657 -158.592 15.7262 -144.219 7.12251
-119.226 22.4525 -149.378 8.44501 -152.813 7.13038
-117.443 20.7433 -137.564 9.99503 -147.671 7.01075
-109.467 14.7127 -160.573 4.19957 -158.036 7.2477
-126.401 16.3821 -158.321 11.5058 -155.987 6.99162
-138.205 12.1665 -161.61 12.1826 -145.371 7.16871
-118.551 28.996 -148.561 21.6801 -144.917 7.11965
-121.65 17.4204 -178.045 15.5214 -158.566 7.04217
-141.894 3.31531 155.893 8.52017 -166.816 7.36261
-111.796 19.1948 -170.429 15.3042 -162.145 7.05143
-92.5424 34.0135 -134.691 20.1905 -145.941 7.16109
-112.805 33.1538 -153.677 18.5901 -157.574 7.11613
-104.753 16.0059 -159.643 5.79219 -161.521 7.24016
-108.922 19.0887 -170.051 10.0664 -165.692 6.97202
-153.117 -0.270591 155.153 4.86521 167.888 7.2374
-104.022 15.3493 126.372 11.7762 145.187 7.07287
-71.8773 24.3143 174.051 12.4377 156.389 7.19376
-111.01 10.5779 128.553 7.86647 140.573 7.01657
-128.437 5.55904 107.382 11.9632 144.404 6.74601
